date,temp_max,precip_mm
2022-06-01,20.4,13.5
2022-06-02,22.6,0.4
2022-06-03,23.1,2.4
2022-06-04,21.8,0.0
2022-06-05,20.5,0.0
2022-06-06,23.6,0.0
2022-06-07,27.3,14.8
2022-06-08,22.4,8.7
2022-06-09,17.0,17.4
2022-06-10,19.6,8.9
2022-06-11,23.5,0.0
2022-06-12,25.0,2.3
2022-06-13,22.2,1.4
2022-06-14,25.3,0.5
2022-06-15,24.7,0.0
2022-06-16,26.3,9.4
2022-06-17,25.1,3.4
2022-06-18,16.9,8.8
2022-06-19,20.9,0.0
2022-06-20,23.7,0.0
2022-06-21,20.6,10.7
2022-06-22,24.5,15.5
2022-06-23,21.4,47.7
2022-06-24,25.9,0.0
2022-06-25,28.7,0.2
2022-06-26,31.1,0.4
2022-06-27,23.9,16.2
2022-06-28,22.7,0.0
2022-06-29,25.3,1.9
2022-06-30,22.9,0.0
2022-07-01,27.5,0.0
2022-07-02,25.3,3.2
2022-07-03,23.8,0.1
2022-07-04,24.6,0.0
2022-07-05,22.6,7.2
2022-07-06,24.3,0.8
2022-07-07,24.9,0.0
2022-07-08,25.6,0.0
2022-07-09,23.1,0.0
2022-07-10,26.3,0.0
2022-07-11,30.2,0.1
2022-07-12,25.4,19.0
2022-07-13,25.7,0.1
2022-07-14,22.8,3.6
2022-07-15,26.1,0.0
2022-07-16,28.0,0.0
2022-07-17,30.0,0.0
2022-07-18,27.7,29.3
2022-07-19,28.8,0.2
2022-07-20,29.6,0.4
2022-07-21,29.0,7.3
2022-07-22,27.9,0.1
2022-07-23,28.4,0.4
2022-07-24,30.0,9.9
2022-07-25,25.3,15.4
2022-07-26,23.7,0.7
2022-07-27,26.9,0.0
2022-07-28,27.9,9.6
2022-07-29,24.2,0.8
2022-07-30,23.5,0.2
2022-07-31,26.1,0.0
2022-08-01,29.1,0.3
2022-08-02,27.1,2.2
2022-08-03,25.8,0.0
2022-08-04,28.1,5.1
2022-08-05,27.1,0.4
2022-08-06,31.1,0.0
2022-08-07,31.5,15.9
2022-08-08,18.7,45.7
2022-08-09,20.1,5.2
2022-08-10,23.4,0.3
2022-08-11,24.5,4.7
2022-08-12,20.5,0.3
2022-08-13,24.0,0.0
2022-08-14,25.4,0.1
2022-08-15,25.8,0.0
2022-08-16,27.4,0.0
2022-08-17,25.5,0.0
2022-08-18,23.4,0.5
2022-08-19,28.6,0.0
2022-08-20,29.3,0.0
2022-08-21,29.5,2.1
2022-08-22,26.6,1.1
2022-08-23,23.6,13.1
2022-08-24,26.5,0.1
2022-08-25,23.0,2.3
2022-08-26,21.6,1.9
2022-08-27,20.9,0.2
2022-08-28,25.8,0.0
2022-08-29,28.6,7.6
2022-08-30,28.6,30.6
2022-08-31,22.3,4.1
