date,temp_max,precip_mm
2025-06-01,13.3,2.2
2025-06-02,18.9,0.2
2025-06-03,25.1,0.0
2025-06-04,30.3,0.0
2025-06-05,26.3,0.3
2025-06-06,25.8,0.0
2025-06-07,25.5,0.0
2025-06-08,25.9,0.0
2025-06-09,21.6,1.5
2025-06-10,23.1,7.1
2025-06-11,23.2,0.0
2025-06-12,21.5,0.9
2025-06-13,20.0,0.0
2025-06-14,22.7,0.0
2025-06-15,25.8,0.0
2025-06-16,27.4,0.0
2025-06-17,26.2,0.8
2025-06-18,29.6,1.3
2025-06-19,28.0,18.7
2025-06-20,23.6,5.6
2025-06-21,26.3,0.0
2025-06-22,29.4,17.8
2025-06-23,34.7,0.1
2025-06-24,33.9,0.2
2025-06-25,30.0,0.0
2025-06-26,22.6,0.0
2025-06-27,26.2,2.6
2025-06-28,26.4,27.7
2025-06-29,23.4,0.3
2025-06-30,28.9,0.0
2025-07-01,26.5,12.7
2025-07-02,27.6,0.1
2025-07-03,22.7,12.6
2025-07-04,23.6,0.0
2025-07-05,25.2,0.0
2025-07-06,31.6,2.6
2025-07-07,24.2,15.2
2025-07-08,24.9,0.1
2025-07-09,27.4,0.0
2025-07-10,28.1,5.1
2025-07-11,29.1,0.3
2025-07-12,31.6,0.1
2025-07-13,30.8,20.5
2025-07-14,28.6,2.1
2025-07-15,29.8,0.0
2025-07-16,33.4,0.0
2025-07-17,29.9,16.6
2025-07-18,24.2,0.0
2025-07-19,26.2,0.0
2025-07-20,25.0,1.4
2025-07-21,21.7,0.0
2025-07-22,23.1,0.0
2025-07-23,26.5,0.0
2025-07-24,33.3,0.0
2025-07-25,29.4,5.5
2025-07-26,30.7,0.0
2025-07-27,28.5,1.6
2025-07-28,30.7,0.0
2025-07-29,29.6,0.3
2025-07-30,26.8,2.3
2025-07-31,23.0,0.0
2025-08-01,23.3,0.0
2025-08-02,26.4,0.0
2025-08-03,29.2,0.0
2025-08-04,25.8,0.5
2025-08-05,25.7,0.0
2025-08-06,29.2,0.0
2025-08-07,30.8,0.0
2025-08-08,31.3,0.1
2025-08-09,31.7,0.0
2025-08-10,34.0,0.4
2025-08-11,34.5,0.0
2025-08-12,34.8,0.0
2025-08-13,29.0,5.3
2025-08-14,28.0,0.0
2025-08-15,27.7,0.0
2025-08-16,30.6,0.0
2025-08-17,24.2,4.3
2025-08-18,20.6,0.0
2025-08-19,22.9,0.0
2025-08-20,24.3,0.2
2025-08-21,26.8,0.0
2025-08-22,28.7,0.0
2025-08-23,30.6,0.4
2025-08-24,25.1,11.9
2025-08-25,24.7,0.2
2025-08-26,20.6,0.0
2025-08-27,22.1,0.0
2025-08-28,22.9,5.5
2025-08-29,19.1,18.9
2025-08-30,17.5,5.2
2025-08-31,22.8,0.0
