date,temp_max,precip_mm
2023-06-01,32.6,0.1
2023-06-02,30.1,0.1
2023-06-03,19.1,0.0
2023-06-04,18.8,0.0
2023-06-05,22.2,0.0
2023-06-06,20.9,9.6
2023-06-07,16.4,3.8
2023-06-08,17.1,3.1
2023-06-09,18.2,0.7
2023-06-10,20.8,0.7
2023-06-11,26.0,0.0
2023-06-12,28.9,0.1
2023-06-13,21.4,18.2
2023-06-14,23.6,0.0
2023-06-15,24.9,12.7
2023-06-16,22.4,5.9
2023-06-17,16.9,14.6
2023-06-18,19.6,0.3
2023-06-19,20.7,0.0
2023-06-20,23.8,0.2
2023-06-21,25.8,0.0
2023-06-22,27.3,0.0
2023-06-23,29.6,0.0
2023-06-24,25.5,9.7
2023-06-25,29.0,0.9
2023-06-26,27.7,21.0
2023-06-27,26.6,4.9
2023-06-28,23.1,15.0
2023-06-29,25.7,5.4
2023-06-30,27.4,0.9
2023-07-01,28.6,11.3
2023-07-02,24.9,2.4
2023-07-03,27.0,0.8
2023-07-04,27.5,11.0
2023-07-05,30.5,0.0
2023-07-06,32.2,0.0
2023-07-07,27.7,2.2
2023-07-08,28.5,0.7
2023-07-09,27.6,8.9
2023-07-10,23.2,13.8
2023-07-11,29.0,10.5
2023-07-12,26.3,3.5
2023-07-13,28.1,21.7
2023-07-14,26.5,0.8
2023-07-15,28.1,0.1
2023-07-16,27.1,8.0
2023-07-17,28.2,0.6
2023-07-18,26.1,5.3
2023-07-19,24.9,0.2
2023-07-20,26.1,0.2
2023-07-21,23.2,23.0
2023-07-22,24.0,2.8
2023-07-23,26.7,0.0
2023-07-24,27.7,0.3
2023-07-25,26.7,0.4
2023-07-26,28.9,1.9
2023-07-27,26.3,26.0
2023-07-28,27.8,3.1
2023-07-29,21.6,1.7
2023-07-30,23.2,1.9
2023-07-31,22.0,0.6
2023-08-01,21.0,0.0
2023-08-02,22.8,0.4
2023-08-03,23.9,23.0
2023-08-04,23.7,4.9
2023-08-05,24.8,0.5
2023-08-06,25.9,0.0
2023-08-07,22.8,6.4
2023-08-08,25.8,26.4
2023-08-09,27.0,0.0
2023-08-10,25.8,15.3
2023-08-11,23.1,1.3
2023-08-12,24.4,20.9
2023-08-13,24.9,9.7
2023-08-14,23.5,1.0
2023-08-15,24.9,0.4
2023-08-16,25.0,3.3
2023-08-17,26.5,1.4
2023-08-18,23.2,8.6
2023-08-19,19.2,6.0
2023-08-20,25.4,0.1
2023-08-21,23.0,0.1
2023-08-22,23.6,0.0
2023-08-23,24.5,0.0
2023-08-24,24.7,4.9
2023-08-25,20.8,2.6
2023-08-26,22.8,8.9
2023-08-27,22.3,0.8
2023-08-28,23.8,0.1
2023-08-29,23.9,5.5
2023-08-30,22.3,18.4
2023-08-31,21.5,0.0
